Date,GDP251  ,GDP252  ,GDP253  ,GDP254  ,GDP255  ,GDP256  ,GDP257  ,GDP258  ,GDP259  ,GDP260  ,GDP261  ,GDP263  ,GDP264  ,GDP265  ,GDP266  ,GDP267  ,GDP268  ,GDP269  ,GDP270  ,GDP271  ,GDP272  ,GDP273  ,GDP274  ,GDP275  ,GDP276  ,GDP277  ,GDP278  ,GDP279  ,GDP280  ,GDP281  ,GDP282  ,GDP284  ,GDP285  ,GDP286  ,GDP287  ,GDP288  ,GDP289  ,GDP290  ,GDP291  ,GDP292  ,LBOUT   ,LBPUR7  ,LBMNU   ,LBLCPU  ,GDP272A,GDP273A,GDP274A,GDP274_1,GDP274_2,GDP274_3,GDP275A,GDP275_1,GDP275_2,GDP275_3,GDP275_4,GDP276A,GDP276_1,GDP276_2,GDP276_3,GDP276_4,GDP276_5,GDP276_6,GDP276_7,GDP276_8,GDP277A,GDP278A,GDP279A,GDP280A,GDP281A,GDP282A,GDP284A,GDP284_1,GDP284_2,GDP285A,GDP285_1,GDP285_2,GDP286A,GDP287A,GDP288A
5\1\1976,46.148,44.757,27.937,54.13,44.108,31.65,30.923,24.877,59.003,17.279,53.827,21.099,18.076,59.943,70.406,54.933,46.066,44.749,44.659,46.415,39.866,37.592,64.802,42.955,30.287,53.295,51.894,61.566,35.341,77.752,33.562,63.405,55.188,36.832,38.741,35.402,39.652,39.595,39.383,39.844,77.14,86.404,76.245,47.752,39.866,37.592,64.802,45.563,110.644,52.054,42.955,40.027,80.267,35.146,35.968,30.287,30.182,40.641,36.187,45.296,32.853,23.459,37.643,32.197,53.295,51.894,61.566,35.341,77.752,33.562,63.405,74.154,41.283,55.188,58.309,43.26,36.832,38.741,35.402
8\1\1976,46.369,45.225,28.258,54.592,44.628,31.694,31.244,25.418,59.592,17.762,52.947,21.712,18.814,59.628,70.206,54.549,46.347,45.007,44.976,46.639,40.405,38.166,65.572,43.522,30.834,54.046,52.624,62.385,35.867,78.719,34.101,63.779,56.177,37.289,39.349,35.758,40.187,40.168,39.953,40.384,77.161,86.916,76.548,48.74,40.405,38.166,65.572,46.421,111.176,52.56,43.522,40.549,81.469,35.764,36.31,30.834,30.708,41.317,36.815,46.027,33.247,24.135,38.037,32.649,54.046,52.624,62.385,35.867,78.719,34.101,63.779,74.47,41.777,56.177,59.349,44.067,37.289,39.349,35.758
11\1\1976,46.701,45.82,28.73,55.064,45.341,31.871,32.849,25.921,59.776,18.268,59.693,21.933,19.437,59.583,70.385,54.376,46.997,45.418,45.696,46.981,41.096,38.765,66.664,44.076,31.388,54.87,53.45,63.313,36.368,79.926,34.705,64.923,56.758,38.02,40.483,36.222,40.879,40.828,40.613,41.076,77.656,87.49,76.958,49.622,41.096,38.765,66.664,47.726,111.756,53.191,44.076,40.966,82.157,36.709,36.86,31.388,31.334,42.32,38.137,46.692,33.454,24.73,38.598,32.964,54.87,53.45,63.313,36.368,79.926,34.705,64.923,75.866,42.405,56.758,59.889,44.795,38.02,40.483,36.222
2\1\1977,47.265,46.363,29.943,55.388,45.702,33.474,34.037,26.928,59.588,19.368,61.496,21.581,20.358,60.124,70.971,54.902,47.452,46.212,46.387,47.608,41.781,39.452,67.271,44.868,32.016,56.027,54.622,64.642,37.51,81.194,35.537,65.657,58.742,38.776,41.352,36.898,41.563,41.591,41.376,41.759,78.047,87.414,77.778,50.226,41.781,39.452,67.271,48.188,112.834,53.505,44.868,41.695,83.341,37.7,37.453,32.016,32.087,43.147,39.447,47.002,34.101,25.203,38.931,33.582,56.027,54.622,64.642,37.51,81.194,35.537,65.657,76.755,42.828,58.742,62.19,45.587,38.776,41.352,36.898
5\1\1977,48.193,46.614,30.623,55.285,45.992,36.04,35.935,27.705,61.801,19.849,68.532,22.162,20.545,60.747,72.14,55.225,48.21,47.051,47.06,48.522,42.452,40.13,67.635,45.727,32.63,57.093,55.671,65.646,38.196,82.346,36.501,66.632,60.374,39.381,41.878,37.553,42.23,42.306,42.088,42.431,78.225,87.619,79.262,50.974,42.452,40.13,67.635,48.397,113.422,53.971,45.727,42.826,83.475,38.264,38.011,32.63,32.771,43.633,40.001,47.422,34.813,25.947,39.334,34.016,57.093,55.671,65.646,38.196,82.346,36.501,66.632,77.817,43.621,60.374,64.03,46.434,39.381,41.878,37.553
8\1\1977,49.056,47.058,31.031,55.377,46.68,38.019,36.406,28.293,62.754,20.328,68.316,22.333,20.258,60.858,72.558,55.165,48.719,47.796,47.462,49.376,43.036,40.736,68.34,46.253,33.265,58.217,56.931,66.799,39.045,83.603,37.708,66.302,61.176,39.837,42.053,38.193,42.829,42.95,42.746,43.017,79.232,88.127,80.11,51.457,43.036,40.736,68.34,48.903,114.411,54.714,46.253,43.35,84.796,38.221,38.523,33.265,33.407,44.292,40.899,47.839,35.618,26.539,39.701,34.702,58.217,56.931,66.799,39.045,83.603,37.708,66.302,77.028,44.209,61.176,64.807,47.317,39.837,42.053,38.193
11\1\1977,49.051,47.765,31.641,56.388,47.193,36.988,37.075,29.254,63.223,21.286,67.416,21.615,20.544,60.663,71.849,55.256,49.117,47.969,48.026,49.315,43.762,41.321,69.27,46.798,33.82,59.371,58.145,67.947,39.852,84.9,38.842,66.616,61.801,40.782,43.435,38.844,43.56,43.688,43.49,43.741,78.306,88.434,80.893,53.114,43.762,41.321,69.27,49.962,115.133,55.16,46.798,43.809,85.181,39.07,39.107,33.82,34.01,44.881,41.564,48.351,36.511,26.913,40.071,35.331,59.371,58.145,67.947,39.852,84.9,38.842,66.616,77.084,45.024,61.801,65.311,48.393,40.782,43.435,38.844
2\1\1978,49.209,48.036,30.808,56.738,47.895,37.687,37.377,29.534,63.082,21.61,67.751,22.125,21.922,60.762,72.103,55.27,49.173,48.319,48.279,49.543,44.493,42.018,70.32,47.462,34.482,60.525,59.273,68.947,40.726,85.859,39.988,67.926,62.845,41.301,43.863,39.422,44.288,44.41,44.207,44.471,77.993,89.598,81.266,54.622,44.493,42.018,70.32,50.927,116.174,56.115,47.462,44.812,84.837,39.212,39.618,34.482,34.532,45.412,42.066,48.91,37.093,27.572,40.607,36.327,60.525,59.273,68.947,40.726,85.859,39.988,67.926,78.652,45.822,62.845,66.452,49.072,41.301,43.863,39.422
5\1\1978,51.148,49.061,33.214,57.36,48.538,40.293,40.094,32.03,69.265,23.3,71.007,24.431,21.992,62.402,73.822,56.89,51.124,49.823,49.791,51.388,45.35,42.885,71.409,48.618,35.143,61.762,60.511,70.096,41.852,86.837,41.182,69.616,64.364,41.878,44.308,40.082,45.143,45.266,45.062,45.331,79.55,89.241,83.643,54.478,45.35,42.885,71.409,51.654,118.175,56.95,48.618,46.521,86.082,39.148,40.042,35.143,35.067,46.351,43.324,49.516,37.309,28.189,41.288,37.256,61.762,60.511,70.096,41.852,86.837,41.182,69.616,80.734,46.713,64.364,68.046,50.303,41.878,44.308,40.082
8\1\1978,51.652,49.275,32.737,57.974,48.775,41.524,41.24,33.165,73.823,23.782,71.994,24.7,22.28,62.898,74.075,57.529,51.596,50.323,50.26,51.93,46.133,43.635,72.578,49.489,35.758,62.97,61.684,71.246,42.887,87.896,42.246,70.754,65.425,42.484,44.909,40.688,45.92,46.048,45.839,46.113,79.715,89.343,84.347,55.513,46.133,43.635,72.578,52.692,119.725,57.696,49.489,47.588,86.088,39.938,40.794,35.758,35.645,46.931,43.646,50.362,37.042,28.823,42.028,38.218,62.97,61.684,71.246,42.887,87.896,42.246,70.754,81.991,47.602,65.425,68.895,52.173,42.484,44.909,40.688
