Date,IPS10,IPS11,IPS299,IPS12,IPS13,IPS18,IPS25,IPS32,IPS34,IPS38,IPS43,IPS307,IPS306,PMP,UTL11,CES275,CES277,CES278,CES275R,CES277R,CES278 R,CES002,CES003,CES006,CES011,CES015,CES017,CES033,CES046,CES048,CES049,CES053,CES088,CES140,LHEL,LHELX,LHEM,LHNAG,LHUR,LHU680,LHU5,LHU14,LHU15,LHU26,LHU27,CES151,CES155,HSBR,HSFR,HSNE,HSMW,HSSOU,HSWST,FYFF,FYGM3,FYGM6,FYGT1,FYGT5,FYGT10,FYAAAC,FYBAAC,Sfygm6,Sfygt1,Sfygt10,sFYAAAC,sFYBAAC,FM1,MZMSL,FM2,FMFBA,FMRRA,FMRNBA,BUSLOANS,CCINRV,PI071,PI072,PI073,PI074,CPIAUCSL,CPILFESL,PCEPILFE,PWFSA,PWFCSA,PWIMSA,PWCMSA,PWCMSAR,PSCCOM,PSCCOMR,PW561,PW561R,PMCP,EXRUS,EXRSW,EXRJAN,EXRUK,EXRCAN,FSPCOM,FSPIN,FSDXP,FSPXE,FSDJ,HHSNTN,PMI,PMNO,PMDEL,PMNV,MOCMQ,MSONDQ
3\1\2001,101.59,102.0021,102.1455,98.0692,95.4021,99.1178,113.5726,101.0078,102.1208,98.855,101.7098,97.928,96.6755,42.6,75.6814,15.62,17.92,14.58,15.37749687,17.64178899,14.35364305,111559,24406,534.8,6862,16935,10691,6244,108098,26210,5821.5,15347.3,7795,20945,67,0.809,137783,135372,4.3,12.8,2681,2059,1521,825,696,40.1,4.1,1659,1590,153,343,706,388,5.31,4.42,4.28,4.3,4.64,4.89,6.98,7.84,-0.14,-0.12,0.47,2.09,2.95,1108.6,4957.5,5078.9,592156,38284,38226,1084.7,1065426,101.577,98.846,101.15,102.405,176.1,184.7,101.334,141.2,142.2,131,132.4,130.6570352,226.5786,223.5958316,73.1,72.1376833,49.9,105.38,1.690805,121.505,144.4459,1.558741,1185.855,1371.649,1.33,23.12,10081.32,83.9,42.6,41.5,47.7,43.7,145.93,46.062
4\1\2001,101.2945,101.7329,101.9538,98.4727,95.3982,99.6662,111.3168,100.6752,101.6684,98.7136,101.4098,97.2126,96.53,43.1,75.2613,15.62,17.8,14.64,15.33447213,17.47462253,14.37238617,111217,24253,535,6844,16801,10593,6208,107956,26082,5805.4,15256.1,7799,20992,65,0.768,137299,135036,4.4,12.4,2972,1990,1499,787,712,40.1,4,1666,1649,179,308,745,417,4.8,3.87,3.85,3.98,4.76,5.14,7.2,8.07,-0.02,0.11,1.27,2.06,2.93,1115.2,5057,5141.2,595371,38342,38291,1080.7,1076085,101.862,98.682,101.642,102.681,176.4,185.1,101.561,142,143.1,130.9,133,130.9557803,226.6555,223.1717884,74.5,73.35492955,48,106.82,1.71311,123.771,143.4771,1.557767,1189.841,1371.662,1.32,23.3,10234.52,82.2,43.1,45.5,47.2,39.7,143.351,42.338
5\1\2001,100.6257,101.2003,101.4737,98.5093,96.1628,99.4364,109.2252,99.8164,100.6407,97.7867,100.6971,94.1108,97.6916,43.1,74.5531,15.71,17.93,14.69,15.37512968,17.54780873,14.37687173,111148,24117,535.3,6849,16659,10487,6172,108060,26071,5790,15261.4,7808,21029,60,0.714,137092,134735,4.3,12.1,2701,2045,1502,877,624,40.1,4,1665,1605,127,348,714,416,4.21,3.62,3.62,3.78,4.93,5.39,7.29,8.07,0,0.16,1.77,1.9,2.68,1119.9,5108.1,5142,598712,38529,38316,1079.3,1082267,102.178,98.269,102.315,102.978,177.3,185.3,101.619,142.3,143.6,131.1,130.5,128.4208662,229.8095,226.1481613,77.7,76.46207894,45.1,106.97,1.752782,121.7682,142.65,1.54105,1270.373,1471.556,1.23,25.85,11004.96,85.4,41.9,44.9,45.4,38.2,148.378,43.817
6\1\2001,100.0474,100.8589,101.1669,98.3812,95.5861,99.4678,108.0828,98.9061,99.4964,96.9882,100.0679,93.3658,98.1865,45.3,73.9247,15.77,17.99,14.74,15.40084182,17.56887409,14.39495298,110910,23969,535.4,6840,16519,10386,6133,108078,26027,5770.3,15256.8,7811,21137,58,0.663,136873,134755,4.5,12.7,2808,2025,1532,822,710,40,4.1,1626,1636,134,339,768,395,3.97,3.49,3.45,3.58,4.81,5.28,7.18,7.97,-0.04,0.09,1.79,1.9,2.69,1126.7,5187.9,5182.1,602070,38960,38730,1067.6,1089116,102.397,98.156,102.405,103.332,177.7,186,101.883,141.8,142.8,130.9,119.9,117.6840101,232.0181,227.7299451,77,75.57688721,42.8,107.92,1.785624,122.351,140.201,1.524538,1238.716,1430.001,1.27,27.06,10767.2,86.9,43.9,47.8,47.1,39.9,145.342,42.501
7\1\2001,99.6035,100.5853,100.8116,98.12,96.3137,98.8531,107.2606,98.2216,98.6919,96.9666,99.7204,93.802,98.1615,47,73.5222,15.83,17.98,14.82,15.46472324,17.56511205,14.47802896,110745,23836,536.4,6845,16381,10286,6095,108094,25966,5761.1,15206.1,7799,21185,57,0.642,137071,134858,4.6,12.9,2642,2187,1653,951,702,40.2,4.2,1598,1670,167,319,790,394,3.77,3.51,3.45,3.62,4.76,5.24,7.13,7.97,-0.06,0.11,1.73,1.89,2.73,1139.6,5243.7,5214.3,607981,39447,39165,1059.5,1096928,102.362,98.3,101.763,103.557,177.4,186.4,102.167,140.1,140.6,129.4,113.3,110.8968649,235.1986,230.2099504,72.8,71.25588497,39.9,108.12,1.757014,124.4981,141.4757,1.53079,1204.453,1385.695,1.3,26.48,10444.5,88.4,44.7,49.2,46.8,37.1,145.675,40.5
8\1\2001,99.2326,99.9292,100.1563,97.9381,94.8486,99.1364,105.3793,98.2505,98.0906,97.2726,99.0076,97.14,96.7911,51.8,72.865,15.86,18.04,14.84,15.49070167,17.61994062,14.49445226,110558,23670,534.5,6827,16235,10193,6042,108106,25953,5753.7,15205.5,7822,21218,53,0.558,136241,133944,4.9,13.3,2966,2187,1861,1004,857,39.8,4,1615,1567,156,351,681,379,3.65,3.36,3.29,3.47,4.57,4.97,7.02,7.85,-0.07,0.11,1.61,2.05,2.88,1150.4,5268.9,5245.9,615466,40029,39846,1053.1,1105511,102.384,97.836,101.455,103.851,177.4,186.7,102.256,140.7,141.3,129.1,112.3,109.8224065,235.9922,230.7856752,72.6,70.99827883,35,105.54,1.680761,121.367,143.7183,1.539857,1178.51,1357.399,1.34,25.93,10314.68,85.2,48.3,54.3,46.7,37.6,146.963,41.284
9\1\2001,98.8162,99.3645,99.4072,97.4955,94.2258,98.763,103.6036,98.0415,97.4647,97.7906,98.6848,94.3918,98.9316,51.8,72.5081,15.88,17.99,14.88,15.54911484,17.61514962,14.56995143,110279,23540,533.8,6813,16120,10114,6006,107981,25869,5743.6,15191.5,7825,21242,53,0.55,136846,134558,5,13.2,2837,2350,1950,1131,819,39.7,3.9,1565,1562,139,285,731,407,3.07,2.64,2.63,2.82,4.12,4.73,7.17,8.03,-0.01,0.18,2.09,2.44,3.3,1205.3,5430.9,5353,639670,58141,54757,1056.7,1110449,102.128,96.871,102.468,103.128,178.1,187.1,101.732,141.3,142.1,129.3,107.2,105.3749066,227.1181,223.251386,73,71.75716589,36.6,104.97,1.633844,118.6117,146.3811,1.567939,1044.649,1204.039,1.48,28.82,9042.561,73.5,47.7,51.3,47.5,38.9,140.089,37.673
10\1\2001,98.2665,98.8685,99.0564,97.6333,92.7993,99.4877,102.0268,97.4129,96.0684,97.5238,97.9927,95.557,99.6549,41.8,71.8922,15.91,18.06,14.89,15.51983144,17.61710596,14.52484539,109916,23379,529.8,6804,15973,9999,5974,107812,25796,5727.5,15170.1,7830,21275,46,0.443,136392,134098,5.3,13.3,3111,2531,2082,1173,909,39.6,3.8,1566,1540,147,327,733,333,2.49,2.16,2.12,2.33,3.91,4.57,7.03,7.91,-0.04,0.17,2.41,2.46,3.34,1166.3,5508.4,5346.2,630329,45616,45489,1046.2,1127695,102.514,97.276,101.566,104.148,177.6,187.4,102.532,139,139.4,127.6,97.4,94.99473335,211.8204,206.5895525,56.9,55.49486989,33.3,105.78,1.635673,121.4536,145.01,1.571677,1076.593,1244.361,1.45,29.22,9220.751,75.5,40.5,38.9,49.5,38.3,142.383,36.152
11\1\2001,97.7567,98.4773,98.7591,97.6082,94.6603,98.7552,101.1552,96.7313,95.4028,96.7613,97.7159,91.1496,99.4611,46.9,71.593,15.98,18.13,14.95,15.59298218,17.69091157,14.58792764,109557,23212,527.8,6784,15828,9894,5934,107671,25714,5709.6,15150.4,7845,21326,45,0.417,136238,133955,5.5,14.3,3090,2566,2318,1213,1106,39.8,3.8,1651,1602,169,361,698,374,2.09,1.87,1.88,2.18,3.97,4.65,6.97,7.81,0.01,0.31,2.78,2.32,3.16,1171.5,5589.8,5388.5,630156,41141,41057,1033.4,1147079,102.482,97.307,100.844,104.443,177.5,188.1,102.806,138.5,138.7,127,102.7,99.89689318,211.15,205.3868451,51.3,49.8998113,32,107.19,1.650865,122.4055,143.561,1.592245,1129.687,1311.739,1.38,30.73,9721.82,76.6,45,49.1,49.1,38.9,142.353,38.555
12\1\2001,97.747,98.6492,98.8521,98.1449,96.9496,98.6249,100.257,96.4589,95.6627,96.0472,97.9395,88.9545,97.3513,49.2,71.672,16.06,18.24,15.01,15.69662317,17.82729805,14.67038069,109366,23096,526,6785,15713,9810,5903,107625,25625,5694.7,15091.7,7833,21355,47,0.422,136047,133751,5.7,14.5,3037,2797,2444,1318,1126,39.9,3.8,1680,1568,141,336,703,388,1.82,1.69,1.78,2.22,4.39,5.09,6.77,8.05,0.09,0.53,3.4,1.68,2.96,1182.1,5669.2,5436.9,635545,41390,41323,1019.6,1155474,102.315,97.254,100.147,104.514,177.4,188.4,102.778,138,138,126.1,95.5,92.91871801,214.1421,208.3540252,45.4,44.17287746,33.2,107.72,1.656615,127.5945,144.1265,1.578755,1144.922,1334.775,1.36,35.83,9979.879,82.3,46.7,51.4,49.3,37.6,143.034,38.956
