Date,IPS10,IPS11,IPS299,IPS12,IPS13,IPS18,IPS25,IPS32,IPS34,IPS38,IPS43,IPS307,IPS306,PMP,UTL11,CES275,CES277,CES278,CES275R,CES277R,CES278 R,CES002,CES003,CES006,CES011,CES015,CES017,CES033,CES046,CES048,CES049,CES053,CES088,CES140,LHEL,LHELX,LHEM,LHNAG,LHUR,LHU680,LHU5,LHU14,LHU15,LHU26,LHU27,CES151,CES155,HSBR,HSFR,HSNE,HSMW,HSSOU,HSWST,FYFF,FYGM3,FYGM6,FYGT1,FYGT5,FYGT10,FYAAAC,FYBAAC,Sfygm6,Sfygt1,Sfygt10,sFYAAAC,sFYBAAC,FM1,MZMSL,FM2,FMFBA,FMRRA,FMRNBA,BUSLOANS,CCINRV,PI071,PI072,PI073,PI074,CPIAUCSL,CPILFESL,PCEPILFE,PWFSA,PWFCSA,PWIMSA,PWCMSA,PWCMSAR,PSCCOM,PSCCOMR,PW561,PW561R,PMCP,EXRUS,EXRSW,EXRJAN,EXRUK,EXRCAN,FSPCOM,FSPIN,FSDXP,FSPXE,FSDJ,HHSNTN,PMI,PMNO,PMDEL,PMNV,MOCMQ,MSONDQ
1\1\1959,23.9966,23.6297,23.1698,29.967,18.2145,36.1654,10.6475,23.8825,15.1019,28.2602,21.7691,20.1633,45.397,70.7,80.1973,2.13,2.45,2.04,10.4848634,12.06005415,10.041841,44376,18796,713,2993,14998,8740,6258,33685,10790,2588.2,5349,2418,8105,32,0.583,63868,58387,6,16.3,1574,1169,1396,594,802,39.8,2.5,1478,1657,350,452,505,350,2.48,2.82,3.09,3.36,4.01,4.02,4.12,4.87,0.27,0.54,1.2,0.1,0.85,138.9,274.9,286.6,40425,11112,10560,35.6,48961.16,20.315,45.513,22.642,15.378,29,29.9,20.872,33.1,33.4,30.6,31.6,151.3990034,100.1,479.5898812,13.7,65.63817555,59.1,105.17,4.3121,359.84,280.6465,0.9671,55.62,59.3,3.24,19.65,592.29,95.2,64.4,69,61.8,45.5,47.769,8.21
2\1\1959,24.4665,23.9486,23.3705,30.1868,18.3101,36.5111,10.79,24.6389,15.7975,28.755,22.1693,20.1085,44.7786,70.3,81.4428,2.13,2.46,2.05,10.4848634,12.10927886,10.09106571,44571,18890,704.2,2980,15115,8839,6276,33797,10830,2594.5,5379.8,2420,8116,34,0.636,63684,58255,5.9,15.5,1554,1164,1277,545,732,39.7,2.6,1542,1667,346,469,508,344,2.43,2.7,3.13,3.54,3.96,3.96,4.14,4.89,0.43,0.84,1.26,0.18,0.93,139.4,276,287.7,40605,11129,10624,35.7,49513.71,20.315,45.531,22.655,15.366,29,29.9,20.866,33.2,33.4,30.7,31.4,150.484041,99.3,475.8937985,13.5,64.69855267,66.6,105.38,4.3134,359.84,280.9346,0.9748,54.77,58.33,3.32,19.43,590.72,95.8,66.9,70.5,67.3,55.5,50.383,9.788
3\1\1959,24.819,24.0936,23.4852,30.1868,18.6686,36.3383,10.9066,25.2789,16.4199,29.187,22.5161,20.2457,45.9123,71.2,82.4769,2.15,2.45,2.07,10.58279189,12.05946052,10.18901359,44884,19069,704.1,3013,15259,8965,6294,33947,10889,2603.8,5431.5,2430,8132,36,0.702,64267,58590,5.6,15.3,1459,1093,1210,530,680,40,2.8,1611,1620,330,413,503,374,2.8,2.8,3.13,3.61,3.99,3.99,4.13,4.85,0.33,0.81,1.19,0.14,0.86,139.7,277.4,289.2,40615,11081,10482,35.9,50007.73,20.316,45.587,22.642,15.372,29,30,20.884,33.2,33.3,30.7,31.5,150.8331737,101.1,484.1026623,13.5,64.64278874,68.9,105.23,4.3228,359.84,281.2708,0.9698,56.15,59.79,3.25,19.95,609.1201,96.4,67.1,70.2,66.3,58.4,51.285,11.058
4\1\1959,25.3476,24.4415,23.8293,30.6631,18.7882,36.9432,11.1915,25.977,16.9141,30.0909,22.9963,20.3279,45.7062,72.1,83.9922,2.16,2.47,2.08,10.61633736,12.13997837,10.22313968,45178,19269,705.2,3085,15385,9077,6308,34051,10920,2614.6,5393.7,2439,8142,38,0.789,64768,58875,5.2,14.9,1494,934,1039,408,631,40.1,2.9,1539,1590,275,391,536,388,2.96,2.95,3.27,3.72,4.12,4.12,4.23,4.86,0.32,0.77,1.17,0.11,0.74,139.7,278.1,290.1,40694,11116,10424,36.2,50463.43,20.346,45.637,22.677,15.394,29,30,20.926,33.2,33.4,30.7,31.7,151.4861894,102.4,489.3434006,13.6,64.99092039,63.6,105.02,4.3226,359.84,281.6531,0.9636,57.1,60.92,3.26,20.1,616.99,96.9,66.9,66.9,64.8,63.4,50.864,10.034
5\1\1959,25.7295,24.6445,24.0587,30.8096,19.1706,36.9432,11.5542,26.646,17.4999,30.3613,23.3165,20.6297,44.8302,73.9,84.9159,2.17,2.48,2.08,10.66339066,12.18673219,10.22113022,45396,19378,710,3087,15487,9160,6327,34171,10965,2626.7,5454.8,2447,8153,38,0.81,64699,58907,5.1,14.7,1479,1005,965,390,575,40.3,2.9,1513,1498,260,355,487,396,2.9,2.84,3.33,3.96,4.35,4.31,4.37,4.96,0.49,1.12,1.47,0.06,0.65,140.7,280.1,292.2,40731,11058,10317,36.9,51007.24,20.35,45.716,22.676,15.394,29,30.1,20.945,33.3,33.3,30.9,31.5,150.3938888,103.5,494.1513488,13.6,64.93196467,65.1,105.01,4.3228,359.84,281.4541,0.963,57.96,62.09,3.21,20.09,630.8,97.5,68.2,69.9,63,63.8,49.844,10.514
6\1\1959,25.7589,24.8184,24.2308,30.6631,19.314,36.684,11.8263,26.4715,17.3718,30.2702,23.3431,20.7394,44.8302,66.3,84.7686,2.18,2.5,2.09,10.68679837,12.25550272,10.24560027,45535,19462,715,3100,15554,9209,6345,34216,10983,2633.2,5466.3,2454,8143,40,0.865,64849,59137,5,14.9,1522,963,963,415,548,40.2,2.9,1490,1503,254,343,518,388,3.39,3.21,3.52,4.07,4.5,4.34,4.46,5.04,0.31,0.86,1.13,0.12,0.7,141.2,281.9,294.1,40750,10972,10043,37.5,51675.44,20.399,45.808,22.729,15.435,29.1,30.2,21.003,33.2,33.4,30.9,31.3,149.0263296,103.4,492.3106223,13.6,64.75265438,69.5,104.88,4.3114,359.84,281.2537,0.959,57.46,61.75,3.23,18.97,631.51,97.2,64.4,64.2,63.7,65.6,49.918,10.708
7\1\1959,25.142,24.8474,24.4315,31.0661,19.6965,36.9864,11.8522,24.9007,15.6328,30.4137,22.9163,21.0138,43.7996,64.8,82.9798,2.18,2.51,2.09,10.66692763,12.28164603,10.22654989,45630,19529,725.3,3087,15623,9266,6357,34274,10993,2638.9,5470,2460,8173,42,0.883,65011,59447,5.1,14.3,1591,1047,889,394,495,39.8,2.8,1452,1547,271,371,533,372,3.47,3.2,3.82,4.39,4.58,4.4,4.47,5.08,0.62,1.19,1.2,0.07,0.68,141.7,283.1,295.2,40896,11109,10148,37.9,52356.85,20.437,45.828,22.768,15.474,29.2,30.2,21.046,33.1,33.3,30.8,31,147.2963984,101.9,484.1775159,13.6,64.62035541,63.9,105.12,4.3095,359.84,281.1653,0.9573,59.74,64.23,3.11,19.72,662.8101,96.9,61.5,61.3,59.1,62,49.141,10.863
8\1\1959,24.2903,24.6735,24.3742,31.1027,19.1467,37.4185,11.7485,23.0099,13.7473,30.3017,22.0093,21.1509,44.521,57.4,79.4676,2.17,2.53,2.07,10.60502395,12.36438276,10.11631317,45156,19049,667,3085,15202,8826,6376,34288,11019,2678,5487.5,2464,8181,40,0.826,64844,59402,5.2,13.7,1607,1113,889,407,482,40,2.9,1465,1430,230,350,474,376,3.5,3.38,3.87,4.42,4.57,4.43,4.43,5.09,0.49,1.04,1.05,0,0.66,141.9,284.2,296.4,40992,11168,10177,38.5,53038.53,20.462,45.602,22.81,15.514,29.2,30.2,21.079,33,33.1,30.8,30.7,145.6425827,102,483.8939229,13.6,64.51918971,57.6,105.49,4.3145,359.84,280.9502,0.9546,59.4,63.74,3.14,19.09,660.5801,96.7,55.1,54.4,57.4,50.9,47.04,10.006
9\1\1959,24.2609,24.5575,24.2882,30.9928,18.573,37.6346,11.6579,22.9808,13.6924,30.3416,21.9559,21.5899,44.2118,50.9,79.0489,2.17,2.54,2.08,10.57917317,12.38299532,10.14040562,45189,19052,652.5,3051,15254,8873,6381,34376,11007,2659.7,5483,2470,8239,41,0.805,64770,59323,5.5,13.7,1602,1275,895,449,446,40,2.8,1411,1540,242,362,560,376,3.76,4.04,4.7,5,4.9,4.68,4.52,5.18,0.66,0.96,0.64,-0.16,0.5,141,284.3,296.7,41034,11128,10202,38.7,53683.75,20.512,45.68,22.868,15.553,29.3,30.3,21.131,33.4,33.6,30.8,30.9,146.2306564,101.9,482.2298992,13.4,63.4139416,61.6,105.46,4.325,360.1,280.3704,0.9517,57.05,61.21,3.26,17.1,635.47,96.4,48.3,43.7,57.5,42.3,46.987,10.863
10\1\1959,24.0847,24.4995,24.1735,30.8463,19.0033,37.1593,11.5672,22.7481,13.4727,29.7755,21.7691,21.6447,43.9542,50.4,78.1537,2.17,2.56,2.07,10.55498808,12.45196751,10.0685831,45094,18925,655.6,3016,15158,8803,6355,34434,11010,2664.1,5492.8,2477,8265,40,0.758,64911,59556,5.7,12.9,1750,1292,883,436,447,39.6,2.8,1358,1355,254,305,443,353,3.98,4.05,4.53,4.8,4.72,4.53,4.57,5.28,0.48,0.75,0.48,0.04,0.75,140.5,284.2,296.5,40903,11057,10150,38.8,54365.95,20.559,45.647,22.917,15.608,29.4,30.4,21.17,33.1,33.2,30.8,30.7,145.0165328,101.2,478.0349551,13.4,63.29711856,63.1,105.33,4.3388,360.23,280.6265,0.9478,57,61.04,3.26,17.04,637.3401,96.1,49.7,50,58.5,39.1,46.878,10.497
11\1\1959,24.2315,24.2386,23.772,30.1868,16.6608,37.6777,11.3858,23.6498,14.3697,29.8259,21.9292,21.7819,45.6546,51.9,78.5051,2.17,2.57,2.07,10.5483181,12.49270854,10.06222049,45351,19108,686,3025,15300,8922,6378,34527,11031,2669.7,5502.3,2483,8284,40,0.741,64530,59050,5.8,13.1,1745,1205,982,505,477,39.5,2.5,1298,1416,246,326,500,344,4,4.15,4.54,4.81,4.75,4.53,4.56,5.26,0.39,0.66,0.38,0.03,0.73,140.4,285.4,297.1,40822,11052,10194,39.1,54794.81,20.572,45.687,22.894,15.646,29.4,30.4,21.205,33,33.1,30.9,30.5,143.8340014,100.5,473.9448243,13.4,63.19264324,65.1,105.41,4.3404,360.23,280.2676,0.9504,57.23,61.46,3.24,17.15,646.4299,95.8,50.6,51.1,54.6,43.4,45.871,9.869
12\1\1959,25.7295,24.9634,24.3455,31.176,18.7882,37.8074,11.5542,26.1806,17.0057,30.5663,23.4232,21.8642,45.0363,61.7,83.5682,2.2,2.56,2.11,10.68064861,12.42839111,10.24371298,45807,19425,694.5,3058,15573,9189,6384,34750,11084,2682,5526.5,2491,8368,40,0.812,65341,59883,5.3,13.1,1657,1122,920,453,467,40,2.7,1394,1601,256,395,592,358,3.99,4.49,4.85,5.14,5.01,4.69,4.58,5.28,0.36,0.65,0.2,-0.11,0.59,140,286.4,297.8,40880,11109,10168,39.5,56010.68,20.598,45.703,22.902,15.687,29.4,30.5,21.238,33,33.1,30.9,30.3,142.6688012,98.7,464.7330257,13.4,63.09445334,63.6,105.45,4.3239,360.23,279.8445,0.9513,59.06,63.56,3.18,17.63,671.3501,98.7,58.2,62.8,53.7,49.1,49.291,10.661
1\1\1960,26.405,25.5722,25.0624,32.1651,20.8439,37.9802,11.9817,26.937,17.683,31.0357,24.0634,21.6722,44.4695,71.9,85.5616,2.22,2.57,2.13,10.77983879,12.47936292,10.3428183,45967,19491,686,3021,15687,9289,6398,34783,11111,2678,5552.7,2496,8307,41,0.841,65347,59889,5.2,13.5,1638,1045,915,450,465,40,3,1092,1460,274,358,506,322,3.99,4.35,4.74,5.03,4.92,4.72,4.61,5.34,0.39,0.68,0.37,-0.11,0.62,140,286.7,298.2,40794,11081,10194,39.9,56015.58,20.594,45.603,22.887,15.701,29.4,30.5,21.233,33.1,33.2,30.8,30.4,143.1733622,99.6,469.0811473,13.4,63.10931098,63.8,105.46,4.3268,360.36,279.9756,0.9532,58.03,62.27,3.27,17.32,655.3899,101.7,61.5,65.4,46.2,48.3,48.354,9.802
2\1\1960,26.1701,25.4273,24.9764,31.7987,20.557,37.5913,12.0594,26.5879,17.3901,30.8456,23.8767,21.6447,44.9333,58.6,84.6108,2.23,2.59,2.14,10.81579203,12.56183917,10.37928024,46187,19605,690.9,3053,15765,9358,6407,34908,11145,2682.5,5576.5,2506,8326,41,0.913,65620,60177,4.8,13.1,1431,1034,841,412,429,39.7,2.8,1088,1503,269,383,487,364,3.97,3.96,4.3,4.66,4.69,4.49,4.56,5.34,0.34,0.7,0.53,0.07,0.85,139.9,287,298.5,40666,10884,10074,40.3,56364.63,20.618,45.674,22.901,15.728,29.4,30.6,21.268,33.1,33.2,30.9,30.4,142.9377468,99,465.4880572,13.4,63.0054542,60.9,105.42,4.3375,360.62,280.3289,0.9518,55.78,59.6,3.44,16.61,624.8799,104.6,52.3,52.5,31.7,56.6,47.629,10.116
3\1\1960,25.9351,25.3403,24.9477,31.8354,20.1507,37.937,12.0853,26.1515,16.8409,30.8591,23.5832,22.4677,45.397,52.4,83.2421,2.24,2.69,2.14,10.85481682,13.03547199,10.37022679,45933,19373,689.2,2881,15707,9301,6406,35085,11134,2686.9,5572.5,2513,8525,39,0.776,64673,59714,5.4,13,1666,1120,959,519,440,39.5,2.7,955,1109,146,206,428,329,3.84,3.31,3.61,4.02,4.31,4.25,4.49,5.25,0.3,0.71,0.94,0.24,1,139.8,287.8,299.4,40616,10796,10155,40.7,56862.88,20.636,45.524,22.945,15.745,29.4,30.6,21.27,33.4,33.6,30.9,30.7,144.3347438,99,465.4442877,13.4,62.99952985,57.3,105.38,4.3368,360.62,280.5857,0.951,55.02,58.71,3.51,16.48,614.7,102.6,47.8,52.2,28.8,50.7,46.765,9.957
4\1\1960,25.7295,25.3983,24.9764,32.0552,20.1268,38.3259,11.9558,25.5407,16.2368,30.5888,23.3965,22.4952,46.7883,49.8,82.2593,2.24,2.61,2.14,10.81550867,12.60199894,10.33267346,46278,19446,692.9,3004,15654,9242,6412,35366,11296,2695,5669.4,2520,8534,38,0.778,65959,60488,5.2,12.6,1735,1002,896,465,431,39.8,2.3,1016,1289,218,288,466,317,3.92,3.23,3.55,4.04,4.29,4.28,4.45,5.2,0.32,0.81,1.05,0.17,0.92,139.6,288.3,300.1,40621,10767,10161,41.1,57711.4,20.711,45.58,23.07,15.782,29.5,30.6,21.31,33.4,33.6,30.8,30.8,144.5330831,100.9,473.486626,13.4,62.8812764,60.4,105.67,4.3387,360.23,280.9495,0.963,55.73,59.46,3.47,16.67,619.98,100.6,45.3,52,28.9,45.5,47.09,10.384
5\1\1960,25.7001,25.5433,25.1484,32.2384,20.318,38.4555,11.9947,25.3079,16.0172,30.6366,23.2631,22.2208,45.5001,45,81.4711,2.24,2.64,2.14,10.80351114,12.73270956,10.32121154,46040,19374,685.8,3021,15575,9169,6406,35098,11173,2691.9,5595.4,2523,8432,38,0.789,66057,60698,5.1,11.9,1718,1074,797,408,389,39.7,2.6,1052,1271,215,298,458,300,3.85,3.29,3.58,4.21,4.49,4.35,4.46,5.28,0.29,0.92,1.06,0.11,0.93,139.6,289.1,300.9,40639,10840,10344,41.4,57951.03,20.734,45.567,23.056,15.838,29.6,30.6,21.351,33.4,33.6,30.8,30.8,144.2555384,101.3,474.4508454,13.4,62.76052644,57,106.14,4.3245,360.49,280.6006,0.978,55.22,58.84,3.51,15.98,615.6399,98.6,42.6,45.8,32.3,42.5,46.563,10.385
6\1\1960,25.377,25.2533,24.8616,32.0186,20.1029,38.2395,11.8392,24.9007,15.5046,30.6635,22.9963,22.358,45.2939,48.5,80.2236,2.24,2.64,2.14,10.7977826,12.72595806,10.31573873,45915,19240,682,2999,15466,9078,6388,35107,11163,2687,5593.3,2528,8432,37,0.728,66168,60752,5.4,11.9,1738,1182,854,458,396,39.5,2.4,958,1247,208,323,408,308,3.32,2.46,2.74,3.36,4.12,4.15,4.45,5.26,0.28,0.9,1.69,0.3,1.11,139.6,290.2,302.3,40689,10885,10451,41.6,58387.06,20.745,45.428,23.056,15.873,29.6,30.7,21.363,33.4,33.6,30.9,30.4,142.3021111,100.6,470.9076441,13.4,62.72527267,52.6,106.33,4.3151,361.27,280.2676,0.9824,57.26,61.06,3.4,16.04,644.3799,98.2,44.4,49.2,34.8,43.9,46.967,10.302
7\1\1960,25.2889,25.1084,24.7183,31.7255,19.3379,38.3259,11.6967,24.9298,15.5962,30.4093,22.943,22.5774,46.4276,48.2,79.7275,2.24,2.66,2.14,10.77803974,12.7989222,10.29687726,45861,19170,663.1,3002,15413,9035,6378,35133,11158,2688.7,5595.8,2536,8442,36,0.696,65909,60367,5.5,12.6,1709,1184,921,521,400,39.6,2.4,999,1197,198,306,394,299,3.23,2.3,2.71,3.2,3.79,3.9,4.41,5.22,0.41,0.9,1.6,0.51,1.32,140.2,291.7,304.1,40794,10994,10615,41.7,58746.71,20.783,45.435,23.097,15.912,29.6,30.6,21.397,33.5,33.7,30.8,30.4,142.075992,100.7,470.6267234,13.4,62.62560172,49.9,106.05,4.3136,359.32,280.8418,0.9785,55.84,59.25,3.49,15.65,625.8301,97.9,43.7,45.7,35.8,41.9,46.782,9.957
8\1\1960,25.2595,25.0504,24.7183,31.7988,19.5531,38.3259,11.5413,24.8134,15.5046,30.2495,22.8363,22.6598,46.0669,50.3,79.0505,2.25,2.68,2.15,10.80691643,12.87223823,10.32660903,45800,19105,682.8,2973,15360,9007,6353,35167,11157,2712,5590.9,2543,8472,35,0.658,65895,60375,5.6,12.2,1746,1287,927,517,410,39.3,2.4,994,1344,229,283,479,353,2.98,2.3,2.59,2.95,3.62,3.8,4.28,5.08,0.29,0.65,1.5,0.48,1.28,141.3,294.2,306.9,40895,11078,10782,41.7,58947.15,20.82,45.442,23.144,15.944,29.6,30.6,21.431,33.4,33.6,30.8,29.8,139.0509076,100.5,468.9468527,13.4,62.52624703,50.6,105.76,4.3106,358.81,281.0237,0.9699,56.51,59.96,3.43,16.45,624.47,97.5,47.6,55.6,38,39.1,48.066,9.939
9\1\1960,24.9952,24.8474,24.5749,31.6522,19.314,38.1962,11.4377,24.4062,15.3033,30.0361,22.5962,22.8518,46.0669,50,77.9187,2.26,2.68,2.16,10.84765288,12.86358837,10.36766823,45734,19057,678.3,2959,15330,8985,6345,35171,11140,2696.6,5589.7,2549,8494,34,0.649,66267,60512,5.5,12.9,1677,1213,982,516,466,39.1,2.3,984,1097,194,292,384,227,2.6,2.48,2.83,3.07,3.61,3.8,4.25,5.01,0.35,0.59,1.32,0.45,1.21,141.2,295.5,308.4,41040,11147,10932,41.8,59364.65,20.834,45.234,23.156,15.985,29.6,30.6,21.45,33.4,33.7,30.8,30,139.8601399,98.9,461.0722611,13.4,62.47086247,48.4,105.82,4.3069,358.81,281.2715,0.9726,54.81,57.96,3.55,16.34,598.1001,96.1,45.4,50.5,37.3,40.8,47.984,9.92
10\1\1960,24.9658,24.9924,24.6896,31.9819,19.5292,38.5851,11.347,24.3189,15.1202,29.8549,22.5695,22.8792,46.3245,51.2,77.5287,2.27,2.69,2.16,10.88207095,12.89549377,10.35474593,45642,18952,677.2,2956,15231,8902,6329,35192,11134,2691.9,5595.3,2548,8502,32,0.558,65632,60196,6.1,13.5,1766,1282,1189,623,566,39.4,2.4,972,1246,286,272,386,302,2.47,2.3,2.73,3.04,3.76,3.89,4.3,5.11,0.43,0.74,1.59,0.41,1.22,140.9,296.4,309.5,41097,11216,11049,42,59628.99,20.86,45.194,23.192,16.01,29.8,30.8,21.465,33.7,34,30.8,30.2,140.6941533,98.2,457.4889355,13.4,62.42720708,45,106.01,4.3083,358.81,281.1582,0.9787,53.73,56.9,3.6,16.11,582.45,94.8,46,50.1,36.2,39.7,47.14,9.655
11\1\1960,24.6134,24.7315,24.4029,31.3958,18.8838,38.1962,11.3211,23.6789,14.4795,29.5423,22.1426,22.9615,45.6031,45.6,75.7724,2.26,2.69,2.15,10.79686604,12.85113702,10.27135486,45446,18799,666.3,2936,15112,8802,6310,35163,11092,2687.1,5573.6,2557,8516,32,0.548,66109,60596,6.1,13.9,1718,1367,1223,673,550,39,2.1,979,1246,302,277,391,276,2.44,2.37,2.66,3.08,3.81,3.93,4.31,5.08,0.29,0.71,1.56,0.38,1.15,140.9,298.2,310.9,41130,11299,11166,42.2,59874.01,20.932,45.502,23.26,16.058,29.8,30.8,21.531,33.7,34,30.7,30.2,140.2628768,97.6,453.2998932,13.4,62.23584599,46.9,106.01,4.3074,359.97,281.3516,0.9769,55.47,58.89,3.51,17.26,601.1399,93.4,44.3,48.2,37.6,41.7,46.597,9.338
12\1\1960,24.1434,24.3835,24.0874,31.176,18.2384,38.153,11.062,23.0389,13.8022,29.4605,21.7691,23.0438,45.9123,47.5,74.2557,2.27,2.71,2.16,10.84256783,12.94421093,10.31715705,45146,18548,658,2862,14947,8681,6266,35195,11061,2683.7,5562.7,2560,8597,30,0.482,65778,60156,6.6,12.4,2102,1468,1142,588,554,38,2,951,1063,145,247,352,319,1.98,2.25,2.5,2.86,3.67,3.84,4.35,5.1,0.25,0.61,1.59,0.51,1.26,140.7,299.9,312.4,40977,11247,11172,42.4,60025.31,20.936,45.15,23.301,16.071,29.8,30.7,21.518,33.6,33.8,30.7,30.3,140.8123432,96.4,447.9970257,13.4,62.27344549,46.6,106.19,4.3056,359.58,280.7371,0.9825,56.8,60.22,3.41,18.71,609.54,93.9,44.3,47.5,40.4,39.3,45.957,10.262
1\1\1961,24.1728,24.3545,24.0301,30.9195,17.5691,38.2827,11.1397,23.2426,13.967,29.5783,21.7958,23.2907,46.3245,47.3,74.1095,2.27,2.72,2.16,10.84204996,12.99135502,10.31666428,45119,18508,652.4,2909,14863,8592,6271,35175,11054,2679.4,5564.2,2565,8564,30,0.476,65776,60354,6.6,13.7,1884,1477,1328,688,640,39.2,2.1,969,1183,148,311,430,294,1.45,2.24,2.47,2.81,3.67,3.84,4.32,5.1,0.23,0.57,1.6,0.48,1.26,141.1,301.3,314.1,40960,11324,11259,42.4,60671.85,20.937,45.26,23.296,16.065,29.8,30.8,21.522,33.6,33.8,30.6,30.4,141.2508131,97.6,453.4894527,13.4,62.26187157,49.1,106.46,4.3066,358.94,280.6399,0.9931,59.72,63.2,3.28,19.25,632.2,94.4,43.9,47.2,39.2,40.5,44.303,9.793
2\1\1961,24.1434,24.3835,24.0301,31.1027,17.4735,38.5419,11.0361,23.068,13.7473,29.7152,21.6891,23.2907,48.2311,49.2,73.512,2.27,2.72,2.16,10.83377082,12.98143464,10.30878633,44969,18418,646.3,2888,14801,8532,6269,35138,11004,2673.7,5534,2567,8587,30,0.46,65588,60116,6.9,13.6,2037,1407,1416,751,665,39.3,2.1,961,1226,226,268,444,288,2.54,2.42,2.6,2.93,3.66,3.78,4.27,5.07,0.18,0.51,1.36,0.49,1.29,141.6,303.4,316.5,40945,11229,11096,42.5,60310.13,20.953,45.271,23.315,16.077,29.8,30.8,21.535,33.7,34,30.7,30.5,141.6299048,99.5,462.0385419,13.4,62.22428605,50.3,106.43,4.3208,358.94,279.99,0.9898,62.17,65.71,3.13,19.41,650.01,94.9,43.6,48.7,41.1,36.6,44.309,9.854
3\1\1961,24.2903,24.4995,24.0587,31.1027,17.4735,38.5419,11.0232,23.2717,13.7656,30.3049,21.8492,22.989,45.7577,55.4,73.8637,2.27,2.74,2.16,10.83997899,13.08437992,10.31469366,45051,18438,644.6,2910,14802,8527,6275,35224,11028,2672.3,5576.8,2567,8611,30,0.458,65850,60444,6.9,14.1,1863,1476,1463,769,694,39.2,2.1,1000,1312,227,314,428,343,2.02,2.39,2.54,2.88,3.6,3.74,4.22,5.02,0.15,0.49,1.35,0.48,1.28,141.9,305.2,318.3,40851,11108,11038,42.7,60455.46,20.941,45.315,23.271,16.085,29.8,30.9,21.546,33.6,33.8,30.8,30.3,140.6293512,101.4,470.6209969,13.4,62.19251833,50.2,105.7,4.3208,358.94,279.75,0.9875,64.12,67.83,3.03,20.06,670.5601,96,49.1,55.2,42.1,38.9,47.133,9.863
4\1\1961,24.7896,24.8764,24.4602,31.8354,18.7403,38.8876,11.1397,23.9698,14.4063,30.7027,22.3561,23.4279,45.8092,61.7,75.3829,2.29,2.76,2.18,10.94227829,13.18807339,10.41666667,44997,18432,639.6,2883,14825,8552,6273,35194,10989,2667.2,5513.1,2573,8629,30,0.455,65374,60337,7,15.5,1729,1427,1598,796,802,39.1,2.2,1002,1166,228,245,415,278,1.49,2.29,2.47,2.88,3.57,3.78,4.25,5.01,0.18,0.59,1.49,0.47,1.23,142.1,306.5,319.9,40823,11123,11066,42.8,60075.87,20.928,45.417,23.189,16.113,29.8,30.9,21.569,33.4,33.6,30.7,30.2,140.0157634,102.4,474.755436,13.5,62.58982799,51.8,105.75,4.3249,360.75,279.8101,0.989,65.83,69.64,2.95,20.82,684.8999,97,57.6,67.7,47.5,41.3,47.857,9.766
5\1\1961,25.1714,25.0504,24.6609,32.2017,19.3379,39.1468,11.1527,24.6971,15.0836,31.1346,22.7029,24.0589,46.1184,66.6,76.356,2.3,2.77,2.19,10.98376313,13.22827125,10.45845272,45119,18523,639.7,2866,14932,8657,6275,35260,10992,2671.3,5533.8,2580,8664,32,0.474,65449,60350,7.1,15.6,1748,1432,1686,827,859,39.3,2.2,1027,1228,230,269,461,268,1.98,2.29,2.45,2.87,3.47,3.71,4.27,5.01,0.16,0.58,1.42,0.56,1.3,142.7,308.2,322.2,40791,11035,10940,42.7,60179.69,20.94,45.531,23.179,16.131,29.8,30.9,21.598,33.3,33.4,30.6,29.9,138.4387443,101.8,471.3399389,13.5,62.50578757,55,105.81,4.3288,361.93,279.3997,0.9876,66.5,70.34,2.92,21.06,693.03,98.1,58.9,64.8,47.9,44,48.631,9.514
6\1\1961,25.5239,25.3113,24.8903,32.5681,19.9833,39.3197,11.2434,25.0752,15.4497,31.4452,23.0497,23.7022,44.7271,65.3,77.3241,2.31,2.79,2.2,11.0257267,13.31678679,10.50069209,45289,18618,642.4,2907,14981,8688,6293,35359,11009,2670.4,5550,2587,8688,32,0.486,65993,60773,6.9,16.2,1841,1419,1651,723,928,39.6,2.3,1070,1382,263,283,494,342,1.73,2.33,2.54,3.06,3.81,3.88,4.33,5.03,0.21,0.73,1.55,0.45,1.15,142.9,309.9,324.3,40902,11087,11024,42.7,60334.75,20.951,45.602,23.147,16.167,29.8,31,21.632,33.3,33.4,30.5,29.5,136.3720414,98.9,457.1930473,13.5,62.40754438,50,106.34,4.3208,361.93,278.98,1.0053,65.62,69.48,2.99,21.32,691.4399,98.2,58.1,64,49.3,42,49.944,10.061
7\1\1961,25.8176,25.5143,25.0624,32.8611,20.3419,39.4925,11.3081,25.4243,15.8341,31.6185,23.3431,23.6199,48.025,64.3,78.1087,2.32,2.77,2.21,11.04972376,13.19298914,10.52581444,45400,18640,642.5,2883,15029,8735,6294,35484,11044,2678.5,5562.7,2592,8724,33,0.496,65608,60455,7,17.3,1789,1356,1830,839,991,39.6,2.5,1083,1335,259,269,482,325,1.17,2.24,2.45,2.92,3.84,3.92,4.41,5.09,0.21,0.68,1.68,0.49,1.17,142.9,310.9,325.6,40980,11124,11070,42.9,60395.98,20.996,45.638,23.218,16.192,29.9,31,21.665,33.3,33.5,30.5,29.7,137.0874683,99.4,458.8045234,13.5,62.31248558,50.9,107.16,4.3161,362.06,278.74,1.0341,65.44,69.15,2.99,21.44,690.6599,98.4,58.2,64.5,49.4,45.3,48.458,10.526
